img,act_class,act_name
037454012.jpg,,
095071431.jpg,,
073199394.jpg,,
059865848.jpg,,
015601864.jpg,sports,curling
015599452.jpg,sports,curling
005808361.jpg,sports,curling
086617615.jpg,sports,curling
060111501.jpg,sports,curling
070807258.jpg,sports,curling
002058449.jpg,sports,curling
096990985.jpg,,
083244264.jpg,,
021233911.jpg,inactivity quiet/light,sitting quietly
018182497.jpg,inactivity quiet/light,sitting quietly
018340451.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
030424224.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
052475643.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
043194502.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
029122914.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
061185289.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
013949386.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
029214465.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
036636184.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
045606998.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
078517596.jpg,,
019967378.jpg,,
051423444.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
059241457.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
004645041.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
060754485.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
017052412.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
006505159.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
094888554.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
096563203.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
080839735.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
030461377.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
009767211.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
068423303.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
044015249.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
012203823.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
049517691.jpg,occupation,truck driving loading and unloading truck tying down load standing walking and carrying heavy lo
003438852.jpg,water activities,swimming synchronized
090932040.jpg,,
025877998.jpg,,
066252228.jpg,,
031171108.jpg,inactivity quiet/light,sitting quietly
052006802.jpg,water activities,swimming synchronized
054671028.jpg,water activities,swimming synchronized
018485446.jpg,home activities,scrubbing floors
096958463.jpg,home activities,mopping standing light effort
077513282.jpg,home activities,mopping standing light effort
093949894.jpg,home activities,mopping standing light effort
089482735.jpg,home activities,mopping standing light effort
059789998.jpg,home activities,mopping standing light effort
092187424.jpg,home activities,mopping standing light effort
008849250.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
019598286.jpg,home activities,cleaning general
004522729.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
032533033.jpg,,
038867729.jpg,,
027134903.jpg,,
082873751.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
035675333.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
028093451.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
054269608.jpg,,
014092422.jpg,,
080219698.jpg,,
007455064.jpg,,
098688694.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
077224477.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
019871568.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
000552212.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
081546143.jpg,,
070685734.jpg,,
072900717.jpg,,
077127035.jpg,,
007404465.jpg,,
035846573.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
011586906.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
086310343.jpg,lawn and garden,gardening general moderate effort
062329813.jpg,lawn and garden,implied walkingstanding - picking up yard light picking flowers or vegetables
033089802.jpg,,
006355835.jpg,miscellaneous,standing talking in person
031098232.jpg,miscellaneous,standing talking in person
032518332.jpg,miscellaneous,standing talking in person
072960618.jpg,miscellaneous,standing miscellaneous
063755747.jpg,miscellaneous,standing talking in person
088721274.jpg,sports,lawn bowling bocce ball outdoor
047221493.jpg,sports,lawn bowling bocce ball outdoor
011959425.jpg,sports,lawn bowling bocce ball outdoor
071324479.jpg,sports,lawn bowling bocce ball outdoor
076078505.jpg,sports,lawn bowling bocce ball outdoor
056127720.jpg,religious activities,serving food in church
077096718.jpg,religious activities,serving food in church
049379560.jpg,religious activities,serving food in church
052273283.jpg,,
042754102.jpg,winter activities,skiing downhill
002541913.jpg,winter activities,skiing downhill
010789143.jpg,winter activities,skiing downhill
003142919.jpg,winter activities,skiing downhill
063641041.jpg,winter activities,skiing downhill
031435598.jpg,winter activities,skiing cross-country
050857069.jpg,winter activities,skiing cross-country
090756647.jpg,winter activities,skiing downhill
024929223.jpg,winter activities,skiing downhill
041038292.jpg,winter activities,skiing downhill
075555114.jpg,winter activities,skiing downhill
022879817.jpg,winter activities,skiing climbing up
007697991.jpg,winter activities,skiing climbing up
028975145.jpg,,
016122129.jpg,winter activities,skiing climbing up
092969765.jpg,winter activities,skiing climbing up
080812038.jpg,winter activities,skiing climbing up
063340376.jpg,winter activities,skiing downhill
087146059.jpg,winter activities,skiing climbing up
080367208.jpg,winter activities,skiing climbing up
018657006.jpg,winter activities,skiing climbing up
089255900.jpg,winter activities,skiing downhill
053934224.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
080744016.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
089609130.jpg,sports,horse cart driving standing or sitting
031800347.jpg,sports,horse cart driving standing or sitting
011005192.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
022793516.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
042710779.jpg,,
081801477.jpg,,
086073058.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
000695213.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
051074730.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
