Iters,LossTrain,AccuracyTrain,LearningRateTrain,SecondsTrain,LossTest,AccuracyTest
0,2.99573,0.0,,33.394179,2.99573,0.0284091
20,3.86027,0.0,0.001,134.278821,,
40,0.297837,1.0,0.001,238.53426,,
60,2.17061,0.0,0.001,336.996859,,
80,1.76481,0.0,0.001,428.131349,,
100,2.16933,0.0,0.001,519.227086,,
120,1.23854,0.0,0.001,610.242065,,
140,1.19978,0.0,0.001,701.280445,,
160,2.18868,0.0,0.001,796.904316,,
180,0.198648,1.0,0.001,889.622451,,
200,4.01537,0.0,0.001,1016.686903,2.0026,0.409091
220,2.59508,0.0,0.001,1114.184695,,
240,0.147655,1.0,0.001,1211.998672,,
260,1.73294,0.0,0.001,1311.896532,,
280,0.940281,1.0,0.001,1407.960011,,
300,1.26752,0.0,0.001,1505.681034,,
320,2.60242,0.0,0.001,1602.234526,,
340,3.04668,0.0,0.001,1706.649569,,
360,1.2937,1.0,0.001,1804.33797,,
380,2.467,0.0,0.001,1901.853552,,
400,1.85533,0.0,0.001,2030.2053,1.71872,0.505682
420,3.96099,0.0,0.001,2126.553476,,
440,0.973876,1.0,0.001,2223.415096,,
460,1.66252,0.0,0.001,2326.467218,,
480,1.12278,1.0,0.001,2422.064564,,
500,0.60325,1.0,0.001,2518.448632,,
520,0.0235073,1.0,0.001,2617.958157,,
540,0.538616,1.0,0.001,2723.802227,,
560,3.86824,0.0,0.001,2824.154238,,
580,2.06619,0.0,0.001,2920.658348,,
600,1.42144,1.0,0.001,3045.334686,1.62454,0.505682
620,0.841829,1.0,0.001,3146.136859,,
640,0.106083,1.0,0.001,3241.264615,,
660,0.000520186,1.0,0.001,3334.886655,,
680,2.06174,0.0,0.001,3431.617577,,
700,0.208977,1.0,0.001,3538.106404,,
